name;mass;orbital_period
HAT-P-66 b;0.783;2.972086
HAT-P-67 b;0.34;4.81010205
HAT-P-68 b;0.724;2.29840551
HAT-P-69 b;3.58;4.7869491
HAT-P-7 b;1.741;2.204735471
HAT-P-70 b;6.78;2.74432452
HAT-P-8 b;1.34;3.0763402
HAT-P-9 b;0.67;3.922814
HATS-10 b;0.526;3.312846
HATS-11 b;0.85;3.619188
HATS-12 b;2.38;3.142702
HATS-13 b;0.543;3.0440499
HATS-14 b;1.071;2.7667641
HATS-15 b;2.17;1.74748753
HATS-16 b;3.27;2.686502
HATS-17 b;1.338;16.254611
HATS-18 b;1.98;0.8378434
HATS-19 b;0.427;4.569673
HATS-2 b;1.345;1.354133
HATS-20 b;0.273;3.7992969
HATS-21 b;0.332;3.5543973
HATS-22 b;2.74;4.7228124
HATS-23 b;1.47;2.1605156
HATS-24 b;2.44;1.3484954
HATS-25 b;0.613;4.2986432
HATS-26 b;0.65;3.3023881
HATS-27 b;0.53;4.637038
HATS-28 b;0.672;3.1810781
HATS-29 b;0.653;4.6058749
HATS-3 b;1.071;3.547851
HATS-30 b;0.706;3.1743516
HATS-31 b;0.88;3.37796
HATS-32 b;0.92;2.8126548
HATS-33 b;1.192;2.5495551
HATS-34 b;0.941;2.1061607
HATS-35 b;1.222;1.8209933
HATS-36 b;2.79;4.175186
HATS-37A b;0.099;4.3315366
HATS-38 b;0.074;4.375021
HATS-39 b;0.63;4.5776348
HATS-4 b;1.323;2.516729
HATS-40 b;1.59;3.2642736
HATS-41 b;9.7;4.193649
HATS-42 b;1.88;2.292102
HATS-43 b;0.261;4.3888497
HATS-44 b;0.56;2.7439004
HATS-45 b;0.7;4.1876244
HATS-46 b;0.173;4.7423729
HATS-47 b;0.369;3.9228038
HATS-48A b;0.243;3.1316666
HATS-49 b;0.353;4.1480467
HATS-5 b;0.237;4.763387
HATS-50 b;0.39;3.8297015
HATS-51 b;0.768;3.3488702
HATS-52 b;2.24;1.3665436
HATS-53 b;0.595;3.8537768
HATS-54 b;0.76;2.5441828
HATS-56 b;0.602;4.324799
HATS-57 b;3.147;2.350621
HATS-58A b;1.03;4.2180896
HATS-59 b;0.806;5.416081
HATS-6 b;0.319;3.3252725
HATS-60 b;0.662;3.560829
HATS-61 b;3.4;7.817953
HATS-62 b;0.179;3.2768837
HATS-63 b;0.96;3.0566527
HATS-64 b;0.96;4.908897
HATS-65 b;0.821;3.105161
HATS-66 b;5.33;3.1414391
HATS-67 b;1.45;1.6091788
HATS-68 b;1.29;3.5862202
HATS-69 b;0.577;2.2252577
HATS-7 b;0.12;3.185315
HATS-70 b;12.9;1.8882378
HATS-71A b;0.45;3.7955213
HATS-72 b;0.1254;7.3279474
HATS-8 b;0.138;3.583893
HATS-9 b;0.839;1.915291
HD 102195 b;0.46;4.113775
HD 106252 b;32.86;1600.0
HD 106315 b;0.03964;9.55237
HD 106315 c;0.04782;21.05704
HD 10697 b;6.837;1075.69
HD 110113 b;4.55;2.541
HD 114783 b;6.3;493.7
HD 118203 b;2.173;6.13498
HD 130322 b;1.05;10.72
HD 131664 b;135.3;19600.0
HD 136118 b;42.0;1209.0
HD 136352 b;0.01454;11.57779
HD 136352 c;0.03552;27.5909
HD 136352 d;0.02775;107.63
HD 13724 b;50.5;44926.0
HD 1397 b;0.415;11.53533
HD 142022 A b;29.4;1928.0
HD 149026 b;0.357;2.8758916
HD 152843 b;0.03637;11.6264
HD 152843 c;0.0865;27.13
HD 154345 b;1.3;3538.0
HD 168443 c;29.463;1749.83
HD 17156 b;3.195;21.2163979
HD 176051 b;1.5;1016.0
HD 181720 b;12.12;956.0
HD 183579 b;0.0302;17.471278
HD 189733 b;1.142;2.21857312
HD 190228 b;65.7;1146.0
HD 191939 b;0.0327;8.88029
HD 191939 c;0.0227;28.5805
HD 191939 d;0.0182;38.3525
HD 195689 b;2.88;1.4811235
HD 202206 (AB) c;17.9;1260.0
HD 202772 A b;1.008;3.30896
HD 206893 b;17.5;9807.0
HD 207897 b;0.05;16.202157
HD 208487 c;0.46;908.0
HD 209458 b;0.69;3.52472
HD 213885 b;0.02778;1.008035
HD 219134 b;0.01343;3.093292
HD 219134 c;0.01246;6.765159
HD 219134 d;0.05236;46.71
HD 219134 f;0.0208;22.805
HD 219666 b;0.0522;6.03607
HD 221416 b;0.1904;14.2767
HD 23472 b;0.05638;17.667
HD 23472 c;0.05405;29.625
HD 2685 b;1.18;4.12692
HD 3167 b;0.0158;0.959624
HD 3167 c;0.0308;29.83832
HD 332231 b;0.244;18.71204
HD 33632 A b;50.0;39082.0
HD 3651 b;0.23;62.25
HD 38529 b;0.93;14.3104
HD 38529 c;23.7;2134.76
HD 4747 b;66.6;12090.0
HD 5278 b;0.0245;14.33902
HD 5388 b;69.0;777.0
HD 60532 b;9.21;201.83
HD 60532 c;21.81;607.06
HD 63935 b;0.034;9.058811
HD 63935 c;0.0349;21.4023
HD 68988 c;15.0;12700.0
HD 69830 b;0.1427;8.6682
HD 69830 c;0.1649;31.601
HD 69830 d;0.2529;200.57
HD 73583 b;0.031;6.3980416
HD 73583 c;0.0302;18.8797
HD 80606 b;3.94;111.43637
HD 80653 b;0.01762;0.719573
HD 85628 A b;3.1;2.82406
HD 87883 b;81.9;2754.0
HD 89345 b;0.1123;11.81399
HD 89744 b;10.32;256.78
HD 92788 b;27.02;325.8
HD 95338 b;0.12406;55.086
HD 97658 b;0.02457;9.489295
HIP 116454 b;0.0372;9.1265
HIP 65A b;3.213;0.9809734
