# name;mass;orbital_period;discovered;radius;semi_major_axis;star_distance;star_teff;method;star_name
HD 168443 c;29.463;1749.83;2001;;2.8373;37.38;5591.0;Radial Velocity;HD 168443
HD 168746 b;;6.403;2002;;0.065;43.12;5610.0;Radial Velocity;HD 168746
HD 1690 b;;533.0;2010;;1.3;319.0;4393.0;Radial Velocity;HD 1690
HD 118865 B;55.0;;2013;;9200.0;;;Imaging;HD 118865 A
HD 169830 b;;225.62;2000;;0.81;36.32;6266.0;Radial Velocity;HD 169830
HD 169830 c;;2102.0;2003;;3.6;36.32;6266.0;Radial Velocity;HD 169830
HD 170469 b;;1145.0;2007;;2.24;64.97;5810.0;Radial Velocity;HD 170469
HD 17092 b;;359.9;2007;;1.29;109.0;4650.0;Radial Velocity;HD 17092
HD 171028 b;;550.0;2007;;1.32;90.0;5663.0;Radial Velocity;HD 171028
HD 171238 b;;1523.0;2009;;2.54;50.28;5467.0;Radial Velocity;HD 171238
HD 17156 b;3.195;21.2163979;2007;1.095;0.1623;78.24;6079.0;Primary Transit;HD 17156
HD 173416 b;;323.6;2009;;1.16;135.0;4683.0;Radial Velocity;HD 173416
HD 175167 b;;1290.0;2010;;2.4;67.02;;Radial Velocity;HD 175167
HD 175370 b;;349.5;2016;;0.98;272.0;4301.0;Radial Velocity;HD 175370
HD 175541 b;;297.3;2007;;1.03;128.0;5060.0;Radial Velocity;HD 175541
HD 175607 b;;29.01;2015;;;45.27;5392.0;Radial Velocity;HD 175607
HD 176051 b;1.5;1016.0;2010;;1.76;14.99;;Astrometry;HD 176051
HD 17674 b;;623.8;2017;;1.42;44.5;5904.0;Radial Velocity;HD 17674
HD 176986 b;;6.4898;2017;;0.06296;26.4;4931.0;Radial Velocity;HD 176986
HD 176986 c;;16.8191;2017;;0.11878;26.4;4931.0;Radial Velocity;HD 176986
HD 177830 A b;;406.6;1999;;1.2218;59.0;4948.0;Radial Velocity;HD 177830 A
HD 177830 A c;;110.9;2010;;0.5137;59.0;4948.0;Radial Velocity;HD 177830 A
HD 178911 B b;;71.487;2001;;0.32;46.73;5650.0;Radial Velocity;HD 178911 B
HD 179079 b;;14.4708;2009;;0.1214;63.69;5724.0;Radial Velocity;HD 179079
HD 179949 b;;3.0925;2000;1.05;0.045;27.0;6260.0;Radial Velocity;HD 179949
HD 180053 b;;213.72;2013;1.203;;126.3;5130.0;Radial Velocity;HD 180053
HD 18015 b;;2278.0;2018;1.17;3.87;;5599.0;Radial Velocity;HD 18015
HD 180314 b;;396.03;2010;;1.4;132.0;4917.0;Radial Velocity;HD 180314
HD 180777 b;25.0;28.44;2006;;0.22;27.3;7250.0;Radial Velocity;HD 180777
HD 180902 b;;510.9;2010;1.221;1.4;110.0;4961.0;Radial Velocity;HD 180902
HD 181234 b;;7462.06;2019;;7.52;47.84;5386.0;Radial Velocity;HD 181234
HD 181342 b;;564.1;2010;1.19;1.592;110.6;4945.0;Radial Velocity;HD 181342
HD 181433 b;;9.3745;2008;;0.0801;26.15;4962.0;Radial Velocity;HD 181433
HD 181433 c;;1014.5;2008;;1.819;26.15;4962.0;Radial Velocity;HD 181433
HD 181433 d;;7012.0;2008;;6.6;26.15;4962.0;Radial Velocity;HD 181433
HD 181720 b;12.12;956.0;2009;;1.78;56.0;5781.0;Radial Velocity;HD 181720
HD 183263 b;;626.5;2004;;1.51;53.0;5888.0;Radial Velocity;HD 183263
HD 183263 c;;2950.0;2008;;4.25;53.0;5888.0;Radial Velocity;HD 183263
HD 183579 b;0.0302;17.471278;2021;0.3149;0.1334;57.06;5788.0;Primary Transit;HD 183579
HD 184601 b;;849.35;2021;;1.76;80.4;;Radial Velocity;HD 184601
HD 185269 A b;;6.838;2006;;0.077;47.0;5980.0;Radial Velocity;HD 185269 A
HD 187085 b;;986.0;2006;;2.05;44.98;6075.0;Radial Velocity;HD 187085
HD 187123 b;;3.0965828;1998;;0.0426;50.0;5714.0;Radial Velocity;HD 187123
HD 187123 c;;3810.0;1998;;4.89;50.0;5714.0;Radial Velocity;HD 187123
HD 18742 b;;766.0;2011;1.166;1.82;135.0;4940.0;Radial Velocity;HD 18742
HD 188015 b;;456.46;2004;;1.19;52.6;5520.0;Radial Velocity;HD 188015
HD 189567 b;;14.288;2011;;0.111;17.7;;Radial Velocity;HD 189567
HD 189567 c;;33.688;2021;;0.197;17.7;;Radial Velocity;HD 189567
HD 189733 b;1.142;2.21857312;2005;1.138;0.03142;19.3;4875.0;Primary Transit;HD 189733
HD 190007 b;;11.72;2020;;0.092;12.72;4610.0;Radial Velocity;HD 190007
HD 190228 b;65.7;1146.0;2002;;2.0;66.11;5176.0;Radial Velocity;HD 190228
HD 190360 b;;2867.9;2003;;3.92;15.89;5588.0;Radial Velocity;HD 190360
HD 190360 c;;17.1186;2005;;0.128;15.89;5588.0;Radial Velocity;HD 190360
HD 190647 b;;1038.1;2007;;2.07;54.2;5628.0;Radial Velocity;HD 190647
HD 190984 b;;4885.0;2009;;5.5;103.0;5988.0;Radial Velocity;HD 190984
HD 191806 b;;1606.3;2016;;2.8;;6010.0;Radial Velocity;HD 191806
HD 191939 b;0.0327;8.88029;2020;0.3024;0.078;53.608;5427.0;Primary Transit;HD 191939
HD 191939 c;0.0227;28.5805;2020;0.2748;0.17;53.608;5427.0;Primary Transit;HD 191939
HD 191939 d;0.0182;38.3525;2020;0.2712;0.207;53.608;5427.0;Primary Transit;HD 191939
HD 191939 e;;101.5;2021;;8.0;53.608;5427.0;Radial Velocity;HD 191939
HD 192263 b;;24.3587;1999;;0.15312;19.9;4965.0;Radial Velocity;HD 192263
HD 192699 b;;340.94;2007;1.206;1.063;67.0;5041.0;Radial Velocity;HD 192699
HD 126053 B;35.0;;2012;0.9;2630.0;17.4385;5750.0;Imaging;HD 126053 A
HD 195019 b;;18.20163;1998;;0.1388;37.36;5787.0;Radial Velocity;HD 195019
HD 195689 b;2.88;1.4811235;2017;1.84;0.03368;;10170.0;Primary Transit;HD 195689
HD 196050 b;;1316.24;2002;;2.47;46.9;5874.0;Radial Velocity;HD 196050
HD 196067 b;;3638.0;2011;;5.02;44.3;;Radial Velocity;HD 196067
HD 196885 A b;;1326.0;2007;;2.6;33.0;6340.0;Radial Velocity;HD 196885 A
HD 197037 A b;;1035.7;2012;;2.07;33.0;6150.0;Radial Velocity;HD 197037 A
HD 19994 A b;;466.2;2003;;1.305;22.38;5984.0;Radial Velocity;HD 19994 A
HD 20003 b;;11.849;2011;;0.0974;43.8;;Radial Velocity;HD 20003
HD 20003 c;;33.823;2011;;0.1961;43.8;;Radial Velocity;HD 20003
HD 200964 b;;613.8;2010;;1.601;68.4;5164.0;Radial Velocity;HD 200964
HD 200964 c;;825.0;2010;;1.95;68.4;5164.0;Radial Velocity;HD 200964
HD 202206 (AB) c;17.9;1260.0;2004;;2.41;45.54;5750.0;Radial Velocity;HD 202206 A
HD 202432 b;;418.8;2018;;1.2;161.0;4549.0;Radial Velocity;HD 202432
HD 202696 b;;528.2;2018;;1.587;188.5;5040.0;Radial Velocity;HD 202696
HD 202696 c;;958.0;2018;;2.36;188.5;5040.0;Radial Velocity;HD 202696
HD 202772 A b;1.008;3.30896;2018;1.562;0.0519;147.2;6230.0;Primary Transit;HD 202772 A
HD 169142 b;2.2;;2014;;36.4;117.0;7650.0;Imaging;HD169142
HD 203473 b;;1552.9;2018;;2.73;;5780.0;Radial Velocity;HD 203473
HD 20367 b;;500.0;2002;;1.25;27.0;6128.0;Radial Velocity;HD 20367
HD 2039 b;;1120.0;2002;;2.23;89.8;5947.0;Radial Velocity;HD 2039
HD 204313 b;;2024.1;2009;;3.167;47.37;5767.0;Radial Velocity;HD 204313
HD 204313 c;;34.905;2011;;0.2099;47.37;5767.0;Radial Velocity;HD 204313
HD 204313 d;;2831.6;2012;;3.93;47.37;5767.0;Radial Velocity;HD 204313
HD 204941 b;;1733.0;2011;;2.56;27.0;5056.0;Radial Velocity;HD 204941
HD 205521 b;;2032.32;2021;;3.26;47.73;;Radial Velocity;HD 205521
HD 205739 b;;279.8;2008;;0.896;90.3;6176.0;Radial Velocity;HD 205739
HD 206255 b;;96.045;2019;;0.461;75.41;5635.0;Radial Velocity;HD 206255
HD 206610 b;;610.0;2010;;1.68;194.0;4874.0;Radial Velocity;HD 206610
HD 19467 b;52.0;;2016;;51.1;30.86;5680.0;Imaging;HD 19467
HD 20781 b;;29.15;2011;;0.169;35.4;;Radial Velocity;HD 20781
HD 20781 c;;85.131;2011;;0.3456;35.4;;Radial Velocity;HD 20781
HD 20781 d;;29.158;2019;;0.1647;35.4;;Radial Velocity;HD 20781
HD 20781 e;;85.5073;2019;;0.3374;35.4;;Radial Velocity;HD 20781
HD 20782 b;;591.9;2006;;1.381;36.02;5578.0;Radial Velocity;HD 20782
HD 207832 A b;;161.97;2012;;0.57;54.4;5710.0;Radial Velocity;HD 207832 A
HD 207832 A c;;1155.7;2012;;2.112;54.4;5710.0;Radial Velocity;HD 207832 A
HD 207897 b;0.05;16.202157;2021;0.22348;0.1164;28.25;5071.0;Primary Transit;HD 207897
HD 20794 b;;18.32;2011;;0.127;6.06;5490.0;Radial Velocity;HD 20794
HD 20794 d;;89.76;2011;;0.364;6.06;5490.0;Radial Velocity;HD 20794
HD 20794 e;;147.02;2017;;0.509;6.06;5490.0;Radial Velocity;HD 20794
HD 208487 b;;129.8;2004;;0.51;45.0;5929.0;Radial Velocity;HD 208487
HD 208487 c;0.46;908.0;2006;;1.8;45.0;5929.0;Default;HD 208487
HD 208527 b;;875.5;2012;;2.1;320.2;4035.0;Radial Velocity;HD 208527
HD 20868 b;;380.85;2008;;0.947;48.9;4795.0;Radial Velocity;HD 20868
HD 208897 b;;352.7;2017;;1.05;64.68;4860.0;Radial Velocity;HD 208897
HD 209458 b;0.69;3.52472;1999;1.38;0.04747;47.0;6092.0;Primary Transit;HD 209458
HD 210193 b;;649.918;2019;;1.487;42.25;5790.0;Radial Velocity;HD 210193
HD 210277 b;;442.1;1998;;1.1;21.29;5532.0;Radial Velocity;HD 210277
HD 210702 b;;354.1;2007;1.216;1.148;56.0;4951.0;Radial Velocity;HD 210702
HD 211403 b;;223.8;2021;;0.768;83.29;6273.0;Radial Velocity;HD 211403
HD 211810 b;;1558.0;2018;;2.656;61.0;5652.0;Radial Velocity;HD 211810
HD 211847 b;;7930.0;2011;;7.5;50.6;5715.0;Radial Velocity;HD 211847
HD 211970 b;;25.2;2019;;0.143;13.13;4127.0;Radial Velocity;HD 211970
HD 212301 A b;;2.245715;2005;1.07;0.036;52.7;5998.0;Radial Velocity;HD 212301 A
HD 212771 b;;373.3;2010;;1.22;131.0;5121.0;Radial Velocity;HD 212771
HD 213240 b;;951.0;2001;;2.03;40.75;5975.0;Radial Velocity;HD 213240
HD 213472 b;;16700.0;2021;;13.0;;;Radial Velocity;HD 213472
HD 213885 b;0.02778;1.008035;2019;0.15568;0.02012;57.97;5978.0;Primary Transit;HD 213885
HD 213885 c;;4.78503;2019;;0.056798;57.97;5978.0;Radial Velocity;HD 213885
HD 21411 b;;84.288;2019;;0.362;29.15;5605.0;Radial Velocity;HD 21411
HD 214823 b;;1853.9;2016;1.082;3.23;101.7;5933.0;Radial Velocity;HD 214823
HD 215152 b;;5.75942;2018;;0.057635;21.5;4935.0;Radial Velocity;HD 215152
HD 215152 c;;7.28345;2011;;0.067399;21.5;4935.0;Radial Velocity;HD 215152
HD 215152 d;;10.8642;2011;;0.08799;21.5;4935.0;Radial Velocity;HD 215152
HD 215152 e;;25.1968;2018;;0.15417;21.5;4935.0;Radial Velocity;HD 215152
HD 215456 b;;191.99;2011;;0.652;38.0;;Radial Velocity;HD 215456
HD 215456 c;;2277.0;2011;;3.394;38.0;;Radial Velocity;HD 215456
HD 215497 b;;3.93404;2009;;0.047;44.0;5113.0;Radial Velocity;HD 215497
HD 215497 c;;567.94;2009;;1.282;44.0;5113.0;Radial Velocity;HD 215497
HD 216435 b;;1311.0;2002;;2.56;33.3;5767.0;Radial Velocity;HD 216435
HD 216437 b;;1256.0;2002;;2.32;26.5;5636.0;Radial Velocity;HD 216437
HD 216520 b;;35.45;2020;;0.198;19.56;5103.0;Radial Velocity;HD 216520
HD 216520 c;;154.43;2020;;0.528;19.56;5103.0;Radial Velocity;HD 216520
HD 216536 b;;148.6;2015;;0.609;;4639.0;Radial Velocity;HD 216536
HD 216770 b;;118.45;2003;;0.46;38.0;5248.0;Radial Velocity;HD 216770
HD 21693 b;;22.656;2011;;0.1484;32.4;;Radial Velocity;HD 21693
HD 21693 c;;53.881;2011;;0.2644;32.4;;Radial Velocity;HD 21693
HD 217107 b;;7.126853;1998;;0.0746;19.72;5666.0;Radial Velocity;HD 217107
HD 217107 c;;5059.3;1998;;5.94;19.72;5666.0;Radial Velocity;HD 217107
HD 217786 A b;;1319.0;2010;;2.38;54.8;5966.0;Radial Velocity;HD 217786 A
HD 217850 b;;3508.1;2018;;4.656;61.0;;Radial Velocity;HD 217850
HD 218566 b;;225.7;2010;;0.6873;29.94;4820.0;Radial Velocity;HD 218566
HD 219077 b;;5513.0;2012;;7.03;29.35;5362.0;Radial Velocity;HD 219077
HD 219134 b;0.01343;3.093292;2015;0.134;0.037;6.55;4699.0;Primary Transit;HD 219134
HD 219134 c;0.01246;6.765159;2015;0.12624;0.062;6.55;4699.0;Radial Velocity;HD 219134
HD 219134 d;0.05236;46.71;2015;;0.225;6.55;4699.0;Radial Velocity;HD 219134
HD 219134 e;;1842.0;2015;;2.56;6.55;4699.0;Radial Velocity;HD 219134
HD 219134 f;0.0208;22.805;2015;;0.139;6.55;4699.0;Default;HD 219134
HD 219134 g;;94.2;2015;;0.3753;6.55;4699.0;Radial Velocity;HD 219134
HD 219134 h;;2198.0;2015;;3.064;6.55;4699.0;Radial Velocity;HD 219134
HD 219415 b;;2093.3;2012;;3.2;;4820.0;Radial Velocity;HD 219415
HD 219666 b;0.0522;6.03607;2018;0.4202;0.06356;94.4;5527.0;Primary Transit;HD 219666
HD 219828 b;;3.834887;2007;;0.045;81.1;5891.0;Radial Velocity;HD 219828
HD 219828 c;;4791.0;2016;;5.96;81.1;5891.0;Radial Velocity;HD 219828
HD 220074 b;;672.1;2012;;1.6;290.2;3935.0;Radial Velocity;HD 220074
HD 220197 b;;1728.0;2018;;2.729;64.5;5683.0;Radial Velocity;HD 220197
HD 220689 b;;2209.0;2011;;3.36;44.6;;Radial Velocity;HD 220689
HD 220773 b;;3724.7;2012;;4.94;49.0;5940.0;Radial Velocity;HD 220773
HD 220842 A b;;218.47;2016;;0.74;62.5;5920.0;Radial Velocity;HD 220842 A
HD 221287 b;;456.1;2007;;1.25;52.9;6304.0;Radial Velocity;HD 221287
HD 221416 b;0.1904;14.2767;2019;0.836;0.1228;95.075;5080.0;Primary Transit;HD 221416
HD 221420 b;;22482.0;2019;;;31.8;5830.0;Radial Velocity;HD 221420
HD 221585 b;;1173.0;2016;;2.306;;5620.0;Radial Velocity;HD 221585
HD 222076 b;;871.0;2016;;1.83;83.5;4806.0;Radial Velocity;HD 222076
HD 222155 b;;3999.0;2012;;5.1;49.1;5765.0;Radial Velocity;HD 222155
HD 222582 b;;572.38;1999;;1.35;42.0;5662.0;Radial Velocity;HD 222582
HD 224538 b;;1189.1;2016;;2.28;77.76;6097.0;Radial Velocity;HD 224538
HD 224693 b;;26.73;2006;;0.233;94.0;6037.0;Radial Velocity;HD 224693
HD 22496 b;;5.09071;2021;;0.051;13.602;4385.0;Radial Velocity;HD 22496
HD 22781 b;;528.07;2011;;1.167;31.79;5027.0;Radial Velocity;HD 22781
HD 23079 b;;730.6;2001;;1.596;34.8;5848.0;Radial Velocity;HD 23079
HD 23127 b;;1214.0;2007;;2.4;89.1;5927.0;Radial Velocity;HD 23127
HD 231701 b;;141.89;2007;;0.53;108.4;6208.0;Radial Velocity;HD 231701
HD 233604 b;;192.0;2013;;0.747;;4791.0;Radial Velocity;HD 233604
HD 233832 b;;4047.0;2018;;4.438;58.8;4981.0;Radial Velocity;HD 233832
HD 23472 b;0.05638;17.667;2018;0.16701;0.121;39.1;;Primary Transit;HD 23472
HD 23472 c;0.05405;29.625;2018;0.19172;0.17;39.1;;Primary Transit;HD 23472
HD 23596 b;;1565.0;2002;;2.88;52.0;5888.0;Radial Velocity;HD 23596
HD 238090 b;;13.671;2020;;0.0932;14.24;3933.0;Radial Velocity;HD 238090
HD 238914 b;;4100.0;2018;;5.7;590.0;4769.0;Radial Velocity;HD 238914
HD 240210 b;;501.75;2009;;1.33;143.0;4290.0;Radial Velocity;HD 240210
HD 240237 b;;745.7;2010;;1.9;1500.0;4361.0;Radial Velocity;HD 240237
HD 24040 b;;3668.0;2006;;4.92;46.51;5853.0;Radial Velocity;HD 24040
HD 24040 c;;515.4;2021;;1.3;46.51;5853.0;Radial Velocity;HD 24040
HD 24064 b;;555.6;2015;;1.29;264.4;4052.5;Radial Velocity;HD 24064
HD 24085 b;;2.0455;2019;;0.034;54.97;6034.0;Radial Velocity;HD 24085
HD 25015 b;;6019.0;2019;;6.19;37.45;5160.0;Radial Velocity;HD 25015
HD 25171 b;;1845.0;2010;;3.02;55.0;6160.0;Radial Velocity;HD 25171
HD 25723 b;;456.78;2020;;1.49;117.9;4766.0;Radial Velocity;HD 25723
HD 25723 c;;2369.84;2020;;4.35;117.9;4766.0;Radial Velocity;HD 25723
HD 26161 b;;32000.0;2021;;20.4;;;Radial Velocity;HD 26161
HD 2638 b;;3.43752;2005;1.04;0.044;53.71;5192.0;Radial Velocity;HD 2638
HD 2685 b;1.18;4.12692;2018;1.44;0.0568;197.98;6801.0;Primary Transit;HD 2685
HD 26965 b;;42.378;2018;;0.215;4.98;5072.0;Radial Velocity;HD 26965
HD 27442 b;;415.2;2000;;1.16;18.1;4749.0;Radial Velocity;HD 27442
HD 27631 b;;2208.0;2011;;3.25;45.5;;Radial Velocity;HD 27631
HD 27894 b;;18.02;2005;;0.125;42.37;4875.0;Radial Velocity;HD 27894
HD 27894 c;;36.07;2017;;0.198;42.37;4875.0;Radial Velocity;HD 27894
HD 27894 d;;5174.0;2017;;5.448;42.37;4875.0;Radial Velocity;HD 27894
HD 27969 b;;654.5;2021;;1.552;68.06;5966.0;Radial Velocity;HD 27969
HD 28185 b;;383.0;2001;;1.03;39.4;5482.0;Radial Velocity;HD 28185
HD 28254 A b;;1116.0;2009;;2.15;56.2;5664.0;Radial Velocity;HD 28254 A
HD 283668 b;;2558.0;2016;;3.3;42.3;4845.0;Radial Velocity;HD 283668
HD 283869 b;;106.0;2018;0.1749;0.4;47.51;4655.0;Primary Transit;HD 283869
HD 203030 b;11.0;;2017;;487.0;41.0;;Imaging;HD 203030
HD 285507 b;;6.0962;2013;;0.0729;41.3;4503.0;Radial Velocity;HD 285507
HD 28678 b;;387.1;2011;;1.24;227.0;5076.0;Radial Velocity;HD 28678
HD 29021 b;;1362.3;2017;;2.28;30.6;5560.0;Radial Velocity;HD 29021
HD 290327 b;;2443.0;2009;;3.43;54.9;5552.0;Radial Velocity;HD 290327
HD 29399 b;;892.7;2021;;1.913;44.2;4803.0;Radial Velocity;HD 29399
HD 2952 b;;311.6;2013;;1.2;115.2;4844.0;Radial Velocity;HD 2952
HD 30177 b;;2532.5;2002;;3.58;54.7;5580.0;Radial Velocity;HD 30177
HD 30177 c;;6921.0;2016;;6.99;54.7;5580.0;Radial Velocity;HD 30177
HD 30562 b;;1157.0;2009;;2.3;26.5;5861.0;Radial Velocity;HD 30562
HD 30669 b;;1684.0;2014;;2.69;57.0;5400.0;Radial Velocity;HD 30669
HD 30856 A b;;912.0;2011;;2.0;118.1;4982.0;Radial Velocity;HD 30856 A
HD 31253 b;;466.0;2010;;1.26;53.82;5960.0;Radial Velocity;HD 31253
HD 31527 b;;16.557;2011;;0.1253;38.6;;Radial Velocity;HD 31527
HD 31527 c;;51.2;2011;;0.2665;38.6;;Radial Velocity;HD 31527
HD 31527 d;;274.2;2011;;0.8181;38.6;;Radial Velocity;HD 31527
HD 3167 b;0.0158;0.959624;2016;0.152;0.0186;47.36;5528.0;Primary Transit;HD 3167
HD 3167 c;0.0308;29.83832;2016;0.255;0.1841;47.36;5528.0;Primary Transit;HD 3167
HD 3167 d;;8.492;2017;;0.07757;47.36;5528.0;Radial Velocity;HD 3167
HD 32518 b;;157.54;2009;;0.59;117.4;4580.0;Radial Velocity;HD 32518
HD 32963 b;;2372.0;2015;;3.41;;5727.0;Radial Velocity;HD 32963
HD 330075 b;;3.6413;2004;1.06;0.039;50.2;6295.0;Radial Velocity;HD 330075
HD 331093 b;;621.62;2021;;1.44;50.265;;Radial Velocity;HD 331093
HD 33142 b;;326.0;2011;1.235;1.07;126.0;4978.0;Radial Velocity;HD 33142
HD 33142 c;;809.0;2010;1.277;1.96;126.0;4978.0;Radial Velocity;HD 33142
HD 332231 b;0.244;18.71204;2020;0.867;0.1436;8.56;6089.0;Primary Transit;HD 332231
HD 33283 b;;18.1801;2006;0.99;0.168;86.0;5995.0;Radial Velocity;HD 33283
HD 33564 b;;388.0;2005;;1.1;20.98;6250.0;Radial Velocity;HD 33564
HD 206893 b;17.5;9807.0;2016;1.65;9.85;38.34;6486.0;Imaging;HD 206893
HD 33844 b;;551.4;2013;;1.6;100.9;4827.0;Radial Velocity;HD 33844
HD 33844 c;;916.0;2015;;2.24;100.9;4827.0;Radial Velocity;HD 33844
HD 34445 b;;1056.7;2004;;2.075;46.5;5836.0;Radial Velocity;HD 34445
HD 34445 c;;214.67;2017;;0.7181;46.5;5836.0;Radial Velocity;HD 34445
HD 34445 d;;117.87;2017;;0.4817;46.5;5836.0;Radial Velocity;HD 34445
HD 34445 e;;49.175;2017;;0.2687;46.5;5836.0;Radial Velocity;HD 34445
HD 34445 f;;676.8;2017;;1.543;46.5;5836.0;Radial Velocity;HD 34445
HD 34445 g;;5700.0;2017;;6.36;46.5;5836.0;Radial Velocity;HD 34445
HD 35759 b;;82.467;2016;;0.389;72.5;6060.0;Radial Velocity;HD 35759
HD 3651 b;0.23;62.25;2003;;0.295;11.0;5173.0;Radial Velocity;HD 3651
HD 284149 b;32.0;;2014;;400.0;108.2;6040.0;Imaging;HD 284149
HD 37124 b;;154.378;1999;;0.53364;33.0;5610.0;Radial Velocity;HD 37124
HD 37124 c;;885.5;2005;;1.71;33.0;5610.0;Radial Velocity;HD 37124
HD 37124 d;;1862.0;2003;;2.807;33.0;5610.0;Radial Velocity;HD 37124
HD 37605 b;;55.01307;2004;;0.2837;44.0;5448.0;Radial Velocity;HD 37605
HD 37605 c;;2720.0;2012;;3.814;44.0;5448.0;Radial Velocity;HD 37605
HD 38283 b;;363.2;2011;;1.02;37.7;5945.0;Radial Velocity;HD 38283
HD 38529 b;0.93;14.3104;2000;;0.131;39.28;5697.0;Radial Velocity;HD 38529
HD 38529 c;23.7;2134.76;2002;;3.695;39.28;5697.0;Radial Velocity;HD 38529
HD 38677 b;;18.57;2019;;0.1462;62.0;6196.0;Radial Velocity;HD 38677
HD 38677 c;;6.584;2019;0.16184;0.0733;62.0;6196.0;Radial Velocity;HD 38677
HD 38677 d;;2.882;2020;1.393;0.0422;62.0;6196.0;Radial Velocity;HD 38677
HD 38677 e;;5.516;2019;1.471;0.0651;62.0;6196.0;Radial Velocity;HD 38677
HD 38801 b;;686.8;2010;1.134;1.66;99.4;5207.0;Radial Velocity;HD 38801
HD 38858 b;;407.15;2011;;1.0376;15.2;;Radial Velocity;HD 38858
HD 39194 b;;5.6368;2011;;0.056;25.9;;Radial Velocity;HD 39194
HD 39194 c;;14.03;2011;;0.103;25.9;;Radial Velocity;HD 39194
HD 39194 d;;33.91;2011;;0.185;25.9;;Radial Velocity;HD 39194
HD 39392 b;;394.3;2016;;1.08;94.2;5951.0;Radial Velocity;HD 39392
HD 39855 b;;3.2498;2019;;0.041;23.28;5576.0;Radial Velocity;HD 39855
HD 40307 b;;4.3114;2008;;0.0475;12.8;4977.0;Radial Velocity;HD 40307
HD 40307 c;;9.621;2008;;0.0812;12.8;4977.0;Radial Velocity;HD 40307
HD 40307 d;;20.412;2008;;0.134;12.8;4977.0;Radial Velocity;HD 40307
HD 40307 e;;34.62;2012;;0.1886;12.8;4977.0;Radial Velocity;HD 40307
HD 40307 f;;51.68;2012;;0.2485;12.8;4977.0;Radial Velocity;HD 40307
HD 40307 g;;197.8;2012;;0.6;12.8;4977.0;Radial Velocity;HD 40307
HD 40956 b;;578.6;2017;;1.4;118.0;4869.0;Radial Velocity;HD 40956
HD 40979 b;;264.1;2002;;0.846;33.3;6205.0;Radial Velocity;HD 40979
HD 41004 A b;;963.0;2004;;1.64;42.5;5035.0;Radial Velocity;HD 41004 A
HD 41004 B b;;1.32363;2004;1.06;0.0177;43.03;5035.0;Radial Velocity;HD 41004 B
HD 4113 A b;;526.62;2007;;1.28;44.0;5688.0;Radial Velocity;HD 4113 A
HD 42012 b;;857.5;2017;;1.67;37.1;5405.0;Radial Velocity;HD 42012
HD 4203 b;;437.05;2001;;1.164;77.5;5701.0;Radial Velocity;HD 4203
HD 4203 c;;6700.0;2014;;;77.5;5701.0;Radial Velocity;HD 4203
HD 4208 b;;828.0;2001;;1.65;33.9;5571.0;Radial Velocity;HD 4208
HD 42618 b;;149.61;2016;;0.554;23.5;5727.0;Radial Velocity;HD 42618
HD 42936 b;;6.6732;2019;;0.0662;48.9;5138.0;Radial Velocity;HD 42936
HD 4308 b;;15.609;2005;;0.118;21.9;5597.0;Radial Velocity;HD 4308
HD 4313 b;;356.0;2010;;1.19;137.0;5035.0;Radial Velocity;HD 4313
HD 43197 b;;327.8;2009;;0.92;54.9;5508.0;Radial Velocity;HD 43197
HD 43691 A b;;36.99913;2007;;0.238;93.2;6200.0;Radial Velocity;HD 43691 A
HD 44219 b;;472.3;2009;;1.19;50.43;5752.0;Radial Velocity;HD 44219
HD 44385 b;;473.5;2018;;1.4;214.0;4400.0;Radial Velocity;HD 44385
HD 45184 b;;5.8872;2011;;0.0638;21.9;;Radial Velocity;HD 45184
HD 45184 c;;13.1354;2019;;0.11;21.9;;Radial Velocity;HD 45184
HD 45350 b;;890.76;2004;;1.92;49.0;5754.0;Radial Velocity;HD 45350
HD 45364 b;;226.93;2009;;0.6813;32.6;5434.0;Radial Velocity;HD 45364
HD 45364 c;;342.85;2009;;0.8972;32.6;5434.0;Radial Velocity;HD 45364
HD 45652 b;;43.6;2008;;0.23;36.0;5312.0;Radial Velocity;HD 45652
HD 46375 A b;;3.02358;2000;1.02;0.041;33.4;5199.0;Radial Velocity;HD 46375 A
HD 47186 b;;4.0845;2008;;0.05;37.84;5675.0;Radial Velocity;HD 47186
HD 47186 c;;1353.6;2008;;2.395;37.84;5675.0;Radial Velocity;HD 47186
HD 4732 A b;;360.2;2013;;1.19;56.5;4959.0;Radial Velocity;HD 4732 A
HD 4732 A c;;2732.0;2013;;4.6;56.5;4959.0;Radial Velocity;HD 4732 A
HD 47366 b;;363.3;2016;;1.214;80.0;4866.0;Radial Velocity;HD 47366
HD 47366 c;;684.7;2016;;1.853;80.0;4866.0;Radial Velocity;HD 47366
HD 4747 b;66.6;12090.0;2016;;16.4;18.69;5340.0;Radial Velocity;HD 4747
HD 47536 b;;430.0;2003;;1.61;121.36;4380.0;Radial Velocity;HD 47536
HD 4760 b;;434.0;2021;;1.14;;4076.0;Radial Velocity;HD 4760
HD 48265 b;;700.0;2008;;1.51;87.4;;Radial Velocity;HD 48265
HD 4917 b;;400.5;2013;1.224;;134.4;4802.0;Radial Velocity;HD 4917
HD 49674 b;;4.94739;2002;0.98;0.058;40.7;5482.0;Radial Velocity;HD 49674
HD 50499 b;;2483.7;2005;;3.93;47.26;6099.0;Radial Velocity;HD 50499
HD 50499 c;;8620.0;2005;;9.02;47.26;6099.0;Radial Velocity;HD 50499
