name;mass;orbital_period;discovered;radius;semi_major_axis;star_distance;star_teff
K2-18 b;0.02807;32.939623;2015;0.211;0.1429;38.07;3457.0
K2-180 b;0.036;8.867209;2018;0.206;0.0753;204.51;5358.0
K2-182 b;0.063;4.7369683;2018;0.24;0.0526;155.9;5165.0
K2-19 b;0.1019;7.9194;2015;0.691;0.074;292.14;5430.0
K2-19 c;0.034;11.90715;2015;0.434;0.0971;292.14;5430.0
K2-19 d;0.031;2.50856;2016;0.102;0.0344;292.14;5430.0
K2-199 b;0.0217;3.2253993;2018;0.1543;0.0382;107.97;4648.0
K2-199 c;0.039;7.3744897;2018;0.2543;0.0662;107.97;4648.0
K2-216 b;0.02517;2.1748;2018;0.156;0.028;115.84;4503.0
K2-22 b;1.4;0.381078;2015;0.223;0.0088;245.53;3830.0
K2-222 b;0.025;15.3885;2018;0.2097;0.1211;101.59;6058.0
K2-229 b;0.00815;0.58426;2018;0.102;0.0131;103.8;5315.0
K2-229 c;0.067;8.32727;2018;0.181;0.0769;103.8;5315.0
K2-229 d;0.079;31.0;2018;0.2364;0.182;103.8;5315.0
K2-231 b;0.0227;13.841901;2018;0.223;;295.0;5695.0
K2-232 b;0.398;11.168454;2018;1.0;0.10356;131.21;6154.0
K2-233 b;0.0104;2.46746;2018;0.125;0.03317;67.64;4950.0
K2-233 d;0.0261;24.3662;2018;0.236;0.1527;67.64;4950.0
K2-237 b;1.236;2.1805577;2018;1.642;0.0353;309.5;6099.0
K2-238 b;0.86;3.20466;2018;1.3;0.046;453.0;5630.0
K2-239 b;0.0044;5.24;2018;0.098;0.0441;49.0;3420.0
K2-239 c;0.0028;7.775;2018;0.089;0.0576;49.0;3420.0
K2-239 d;0.0041;10.115;2018;0.098;0.0685;49.0;3420.0
K2-24 b;0.05978;20.88977;2016;0.482;0.154;171.39;5625.0
K2-24 c;0.04845;42.3391;2016;0.669;0.247;171.39;5625.0
K2-240 b;0.0157;6.034;2018;0.178;0.0513;70.0;3810.0
K2-240 c;0.0145;20.523;2018;0.161;0.1159;70.0;3810.0
K2-25 b;0.0771;3.484552;2015;0.306;;45.01;3180.0
K2-260 b;1.42;2.6266657;2018;1.552;0.0404;676.32;6367.0
K2-261 b;0.223;11.63344;2018;0.85;0.102;214.58;5537.0
K2-263 b;0.0466;50.818947;2018;0.215;0.2573;163.23;5368.0
K2-265 b;0.02058;2.369172;2018;0.153;0.03376;139.22;5477.0
K2-266 b;0.0355;0.658524;2018;0.294;0.01306;77.16;4285.0
K2-266 c;0.00091;7.814;2018;0.063;0.0679;77.16;4285.0
K2-266 d;0.028;14.697;2018;0.261;0.1035;77.16;4285.0
K2-266 e;0.04499;19.482;2018;0.244;0.1249;77.16;4285.0
K2-27 b;0.09722;6.771315;2016;0.4;0.06702;251.43;5248.0
K2-280 b;0.1167;19.895202;2018;0.684;0.1488;396.9;5742.0
K2-285 b;0.03046;3.471745;2018;0.231;0.03817;155.65;4975.0
K2-285 c;0.04933;7.138048;2018;0.315;0.0824;155.65;4975.0
K2-285 d;0.02045;10.45582;2018;0.221;0.1178;155.65;4975.0
K2-285 e;0.03367;14.76289;2018;0.174;0.18041;155.65;4975.0
K2-286 b;0.0214;27.359;2018;0.187;0.1768;76.32;3926.0
K2-287 b;0.315;14.893291;2018;0.847;0.1206;159.05;5695.0
K2-289 b;0.1529;13.156969;2019;0.812;0.107;270.7;5529.0
K2-29 b;0.73;3.2588321;2016;1.19;0.04217;179.39;5358.0
K2-290 b;0.0343;9.21165;2019;0.273;0.0923;274.99;6302.0
K2-290 c;0.774;48.36685;2019;1.006;0.305;274.99;6302.0
K2-291 b;0.02042;2.225177;2019;0.142;0.03261;90.29;5520.0
K2-292 b;0.07709;16.9841;2019;0.235;0.13;114.29;5725.0
K2-295 b;0.335;4.024867;2018;0.897;0.0451;225.7;4444.0
K2-3 b;0.02039;10.054626;2015;0.194;0.0775;45.0;3896.0
K2-3 c;0.00673;24.646582;2015;0.165;0.1405;45.0;3896.0
K2-3 d;0.00881;44.55646;2015;0.135;0.2086;45.0;3896.0
K2-30 b;0.579;4.098503;2016;1.039;0.04839;336.26;5425.0
K2-308 b;0.025;3.38628;2019;0.884;;;6100.0
K2-31 b;1.774;1.25785;2016;1.06;0.022;;5280.0
K2-32 b;0.047;8.991828;2016;0.443;0.08035;158.39;5315.0
K2-32 c;0.0255;20.66186;2016;0.244;0.1399;158.39;5315.0
K2-32 d;0.0211;31.7142;2016;0.292;0.1862;158.39;5315.0
K2-32 e;0.0066;4.34882;2019;0.09;0.04951;158.39;5315.0
K2-33 b;3.7;5.424865;2016;0.45;0.0409;139.8;3540.0
K2-34 b;1.78;2.995633;2016;1.245;0.0426;352.34;6071.0
K2-36 b;0.01227;1.422614;2016;0.128;0.0223;110.09;4916.0
K2-36 c;0.02454;5.3410507;2016;0.2783;0.054;110.09;4916.0
K2-38 b;0.06;4.01593;2016;0.17;0.04994;193.71;5757.0
K2-38 c;0.03115;10.56103;2016;0.216;0.0964;193.71;5757.0
K2-39 b;0.09;4.60543;2016;0.56;0.062;310.14;4881.0
K2-52 b;0.4046;3.535055;2016;1.606;0.054;1041.7;7147.0
K2-53 b;0.0289;12.20772;2016;0.232;0.098;139.1;5263.0
K2-55 b;0.138;2.849258;2016;0.341;0.03486;160.26;4456.0
K2-60 b;0.426;3.00265;2016;0.683;0.045;498.7;5500.0
K2-66 b;0.06702;5.06963;2016;0.222;0.05983;520.43;5887.0
K2-77 b;1.9;8.199796;2016;0.205;;142.31;4970.0
K2-79 b;0.0371;10.99475;2016;0.3649;0.0987;257.9;5926.0
K2-87 b;0.1192;9.726618;2016;0.678;0.094;503.6;5747.0
K2-90 b;0.028;13.733314;2016;0.232;0.096;134.9;4484.0
K2-95 b;1.67;10.134016;2016;0.346;0.0696;180.63;3548.0
K2-97 b;1.1;8.406726;2016;0.947;0.086;869.76;4717.0
K2-98 b;0.101;10.136448;2016;0.464;0.0974;526.31;6172.0
K2-99 b;0.97;18.251985;2016;1.046;0.1597;522.29;6217.0
KELT-1 b;27.23;1.217514;2012;1.15;0.02472;263.0;6516.0
KELT-10 b;0.679;4.166285;2015;1.399;0.0525;183.0;5948.0
KELT-11 b;0.195;4.736529;2016;1.3;0.06229;98.0;5370.0
KELT-12 b;0.95;5.0316144;2016;1.79;0.0617;360.0;6330.0
KELT-15 b;0.92;3.329441;2015;1.443;0.04613;201.0;6003.0
KELT-16 b;2.75;0.9689951;2016;1.415;0.02044;365.0;6236.0
KELT-17 b;1.31;3.0801716;2015;1.525;0.04881;210.0;7454.0
KELT-18 b;1.18;2.8717518;2017;1.57;0.0455;311.0;6670.0
KELT-19 A b;4.07;4.6117093;2017;1.91;;255.0;7500.0
KELT-2 A b;1.486;4.1137914;2012;1.306;0.05498;128.9;6148.0
KELT-21 b;3.91;3.6127647;2017;1.586;0.05224;415.0;7598.0
KELT-22A b;3.69;1.38665318;2018;1.2;0.0248;;5700.0
KELT-23A b;0.938;2.255251;2019;1.323;0.03302;125.42;5899.0
KELT-25 b;21.0;4.401131;2020;1.642;0.0681;442.7;8280.0
KELT-3 b;1.418;2.7033902;2012;1.333;0.04117;178.0;6304.0
KELT-4 A b;0.884;2.9895933;2013;1.706;0.04321;211.0;6207.0
KELT-6 b;0.442;7.845582;2013;1.18;0.08;;6272.0
KELT-7 b;1.24;2.734784;2015;1.293;0.0446;129.0;6789.0
KELT-8 b;0.874;3.24406;2015;1.86;0.04571;236.0;5754.0
KIC 5095269 (AB) b;7.698;237.70817;2017;;;;
KIC 7917485 b;11.8;840.0;2016;;2.03;;7067.0
KOI-12 b;1.1;17.855182;2015;1.23;0.154;403.99;6820.0
KOI-1257 b;1.45;86.647661;2014;0.94;0.382;900.0;5520.0
KOI-13 b;9.28;1.763588;2011;1.512;0.03641;415.0;7650.0
KOI-142 b;0.03;10.91647;2013;0.307;;339.0;5466.0
KOI-142 c;0.674;22.26492;2013;;0.1529;339.0;5466.0
KOI-1599.01;0.01447;20.4415;2019;0.17;0.14728;1168.99;5370.0
KOI-1599.02;0.02832;13.6088;2019;0.17;0.112293;1168.99;5370.0
KOI-2700 b;0.00271;0.910022;2013;0.0946;;;4433.0
KOI-3680 b;1.93;141.241671;2018;0.99;0.534;946.59;5830.0
KOI-415 b;62.14;166.78805;2013;0.79;0.593;962.56;5810.0
KOI-55 b;0.0014;0.240104;2011;0.068;0.006;1180.0;27730.0
KOI-55 c;0.0021;0.342887;2011;0.077;0.0076;1180.0;27730.0
KOI-984 b;0.0544;4.2881785;2017;0.384;0.0504;229.63;5295.0
KPS-1 b;1.09;1.706291;2018;1.03;0.0269;;5165.0
Kepler-10 b;0.0145;0.837491;2011;0.132;0.0172;186.5;5708.0
Kepler-10 c;0.02319;45.2946;2011;0.2097;0.241;186.5;5708.0
Kepler-101 b;0.16;3.4876812;2014;0.51;0.0474;953.44;5667.0
Kepler-101 c;0.01;6.02976;2014;0.112;0.0684;953.44;5667.0
Kepler-105 b;0.016;5.4122;2013;0.429;0.066;465.33;5827.0
Kepler-105 c;0.01447;7.1262;2014;0.117;0.072;465.33;5827.0
Kepler-107 b;0.01104;3.1800218;2014;0.137;0.04544;525.5;5854.0
Kepler-107 c;0.02954;4.901452;2014;0.142;0.06064;525.5;5854.0
Kepler-107 d;0.01196;7.95839;2014;0.077;0.08377;525.5;5854.0
Kepler-107 e;0.02706;14.749143;2014;0.259;0.12639;525.5;5854.0
Kepler-11 b;0.006;10.3039;2010;0.161;0.091;658.59;5663.0
Kepler-11 c;0.009;13.0241;2010;0.256;0.107;658.59;5663.0
Kepler-11 d;0.023;22.6845;2010;0.278;0.155;658.59;5663.0
Kepler-11 e;0.025;31.9996;2010;0.374;0.195;658.59;5663.0
Kepler-11 f;0.006;46.6888;2010;0.222;0.25;658.59;5663.0
Kepler-11 g;0.079;118.3807;2010;0.297;0.466;658.59;5663.0
Kepler-114 b;0.022;5.188549;2014;0.112;0.053;261.49;4605.0
Kepler-117 b;0.094;18.7959228;2014;0.719;0.1445;1430.0;6150.0
Kepler-117 c;1.84;50.790391;2014;1.101;0.2804;1430.0;6150.0
Kepler-12 b;0.432;4.4379629;2011;1.754;0.0553;904.4;5947.0
Kepler-138 b;0.00021;10.3126;2014;0.047;0.0746;66.99;3841.0
Kepler-138 c;0.0062;13.7813;2014;0.107;;66.99;3841.0
Kepler-138 d;0.00201;23.0881;2014;0.108;;66.99;3841.0
Kepler-14 b;8.4;6.790123;2011;1.136;;980.0;6395.0
Kepler-15 b;0.66;4.942782;2011;0.96;0.05714;755.38;5515.0
Kepler-150 f;0.0283;637.2093;2017;0.325;1.24;914.4;5560.0
Kepler-1514 b;5.28;217.83184;2016;1.108;0.753;389.3;6145.0
Kepler-1520 b;6.3e-05;0.65355357;2016;0.515;0.013;636.0;4677.0
Kepler-16 (AB) b;0.333;228.776;2011;0.7538;0.7048;;4450.0
Kepler-160 d;0.31463;30.0;2020;;0.17;962.92;5471.0
Kepler-1625 b;11.6;287.378949;2016;0.541;;1213.0;5677.0
Kepler-1647 (AB) b;1.52;1107.5923;2015;1.06;2.7205;;6210.0
Kepler-1654 b;0.5;1047.8356;2018;0.819;2.026;577.6;5597.0
Kepler-1655 b;0.01573;11.8728787;2018;0.197;0.103;214.58;6148.0
Kepler-1658 b;5.88;3.84937278;2019;1.07;0.0544;806.07;6216.0
Kepler-1661 (AB) b;0.053;175.06;2019;;;415.5;
Kepler-167 d;0.006;21.803855;2016;0.107;0.1405;330.0;4890.0
Kepler-167 e;4.0;1071.23228;2016;0.906;1.89;330.0;4890.0
Kepler-17 b;2.45;1.4857108;2011;1.31;0.02591;800.0;5781.0
Kepler-1705 b;0.01406;9.03502;2017;0.1811;0.08;;5775.0
Kepler-1705 c;0.01705;11.28;2017;0.1829;0.0416;;5775.0
Kepler-177 b;0.01837;35.8601;2013;0.312;;1497.42;5732.0
Kepler-177 c;0.04625;49.40926;2013;0.779;;1497.42;5732.0
Kepler-18 b;0.022;3.504725;2011;0.178;0.0447;438.51;5345.0
Kepler-18 c;0.054;7.64159;2011;0.49;0.0752;438.51;5345.0
Kepler-18 d;0.052;14.85888;2011;0.623;0.1172;438.51;5345.0
Kepler-19 b;0.02643;9.28716;2011;0.198;0.085;219.95;5544.0
Kepler-19 c;0.04122;28.731;2011;;;219.95;5544.0
Kepler-19 d;0.07079;62.95;2017;;;219.95;5544.0
Kepler-197 c;0.017;10.349695;2014;0.11;0.09;333.75;6004.0
Kepler-20 b;0.03052;3.69611525;2011;0.167;0.0463;284.88;5495.0
Kepler-20 c;0.04012;10.85409089;2011;0.272;0.0949;284.88;5495.0
Kepler-20 d;0.03168;77.61130017;2011;0.245;0.3506;284.88;5495.0
Kepler-20 e;0.0097;6.09852281;2011;0.077;0.0639;284.88;5495.0
Kepler-20 f;0.045;19.57758478;2011;0.089;0.1396;284.88;5495.0
Kepler-21 b;0.01598;2.78578;2012;0.146;0.042717;108.86;6305.0
Kepler-22 b;0.113;289.8623;2011;0.212;0.849;190.0;5518.0
Kepler-223 b;0.02328;7.38449;2014;0.267;0.073;1960.49;5829.0
Kepler-223 c;0.01605;9.84564;2014;0.307;0.088;1960.49;5829.0
Kepler-223 d;0.02517;14.78869;2014;0.467;0.116;1960.49;5829.0
Kepler-223 e;0.0151;19.72567;2014;0.41;0.14;1960.49;5829.0
Kepler-23 d;0.055;15.274299;2014;0.196;0.124;856.34;5828.0
Kepler-25 b;0.0275;6.238297;2011;0.245;0.068;244.96;6270.0
Kepler-25 c;0.0479;12.7207;2011;0.465;0.11;244.96;6270.0
Kepler-25 d;0.226;122.4;2014;;;244.96;6270.0
Kepler-26 b;0.01611;12.28;2011;0.248;0.085;338.55;3914.0
Kepler-26 c;0.01951;17.2559;2011;0.243;0.107;338.55;3914.0
Kepler-278 b;0.176;30.160546;2014;0.363;0.207;448.65;4991.0
Kepler-278 c;0.1098;51.078775;2014;0.32;0.294;448.65;4991.0
Kepler-289 b;0.023;34.545;2014;0.192;0.21;700.0;5990.0
Kepler-289 c;0.42;125.8518;2014;1.034;0.51;700.0;5990.0
Kepler-289 d;0.013;66.0634;2014;0.239;0.33;700.0;5990.0
Kepler-29 b;0.01573;10.33974;2011;0.227;0.09;851.9;5378.0
Kepler-29 c;0.01416;13.28613;2011;0.209;0.11;851.9;5378.0
Kepler-30 b;0.036;29.33434;2012;0.348;0.18;938.33;5498.0
Kepler-30 c;2.01;60.323105;2012;1.097;0.3;938.33;5498.0
Kepler-30 d;0.073;143.34394;2012;0.785;0.5;938.33;5498.0
Kepler-307 b;0.02341;10.4208;2013;0.217;;585.27;5367.0
Kepler-307 c;0.01145;13.0729;2013;0.196;;585.27;5367.0
Kepler-31 c;4.7;42.6318;2011;0.473;0.26;1747.58;6340.0
Kepler-31 d;6.8;87.6451;2014;0.348;0.4;1747.58;6340.0
Kepler-32 b;4.1;5.90124;2011;0.196;0.05;326.85;3900.0
Kepler-32 c;0.5;8.7522;2011;0.178;0.09;326.85;3900.0
Kepler-338 b;0.0963;13.726976;2014;0.218;0.117;561.69;5923.0
Kepler-34 (AB) b;0.22;288.822;2012;0.7637;1.0896;1499.0;5913.0
Kepler-35 (AB) b;0.1268;131.458;2012;0.728;0.60347;1645.0;5606.0
Kepler-36 b;0.01205;13.86825;2012;0.134;0.1153;470.0;5979.0
Kepler-36 c;0.02243;16.21865;2012;0.328;0.1283;470.0;5979.0
Kepler-37 b;0.01;13.36731;2013;0.026;0.1003;64.04;5417.0
Kepler-38 (AB) b;0.38;105.595;2012;0.39;0.4644;;5640.0
Kepler-39 b;20.1;21.08721;2011;1.24;0.164;1090.44;6350.0
Kepler-391 c;1.416;20.485435;2014;0.316;0.161;891.53;4940.0
Kepler-4 b;0.077;3.21346;2009;0.357;0.0456;550.0;5857.0
Kepler-40 b;2.2;6.87349;2010;1.17;0.08;2700.0;6510.0
Kepler-407 c;12.6;3000.0;2014;;;341.69;5476.0
Kepler-41 b;0.56;1.8555582;2011;1.29;0.03101;1128.11;5750.0
Kepler-411 b;0.08055;3.005156;2013;0.214;0.0375;153.59;4974.0
Kepler-411 c;0.08306;7.834435;2016;0.394;0.0739;153.59;4974.0
Kepler-411 d;0.04782;58.02035;2018;0.296;0.279;153.59;4974.0
Kepler-411 e;0.03398;31.509728;2018;;0.186;153.59;4974.0
Kepler-412 b;0.941;1.7208604;2014;1.341;0.02897;1121.32;5750.0
Kepler-418 b;1.1;86.67856;2014;1.2;;1031.92;5820.0
Kepler-419 b;2.5;69.7546;2014;0.96;0.37;1041.31;6430.0
Kepler-419 c;7.3;675.47;2014;;1.68;1041.31;6430.0
Kepler-42 b;0.009;1.2137672;2011;0.07;0.0116;38.7;3068.0
Kepler-42 c;0.006;0.45328509;2011;0.065;0.006;38.7;3068.0
Kepler-42 d;0.003;1.865169;2011;0.051;0.0154;38.7;3068.0
Kepler-422 b;0.43;7.8914483;2014;1.15;0.082;738.2;5972.0
Kepler-423 b;0.595;2.6843285;2014;1.192;0.03585;725.0;5560.0
Kepler-424 b;1.03;3.3118644;2014;0.89;0.044;712.87;5460.0
Kepler-425 b;0.25;3.79701816;2014;0.978;0.0464;650.0;5170.0
Kepler-426 b;0.34;3.21751883;2014;1.09;0.0414;880.0;5725.0
Kepler-427 b;0.29;10.290994;2014;1.23;0.091;1100.0;5800.0
Kepler-428 b;1.27;3.52563254;2014;1.08;0.0433;720.0;5150.0
Kepler-43 b;3.23;3.0240949;2011;1.219;0.046;1035.9;6041.0
Kepler-432 b;5.41;52.501129;2015;1.145;0.301;870.0;4995.0
Kepler-433 b;2.82;5.33408384;2015;1.45;0.0679;1870.0;6360.0
Kepler-434 b;2.86;12.8747099;2015;1.13;0.1143;1240.0;5977.0
Kepler-435 b;0.84;8.6001536;2015;1.99;0.0948;2070.0;6161.0
Kepler-44 b;1.0;3.2467293;2011;1.09;0.0446;1229.15;5800.0
Kepler-445 b;0.02;2.984151;2015;0.14;;90.0;3157.0
Kepler-445 c;0.027;4.871229;2015;0.22;;90.0;3157.0
Kepler-445 d;0.011;8.15275;2015;0.11;;90.0;3157.0
Kepler-446 b;0.014;1.565409;2015;0.13;;120.0;3359.0
Kepler-446 c;0.009;3.036179;2015;0.1;;120.0;3359.0
Kepler-446 d;0.01;5.148921;2015;0.12;;120.0;3359.0
Kepler-447 b;1.37;7.79430132;2015;1.65;0.0769;270.12;5493.0
Kepler-448 c;22.0;2500.0;2017;;4.2;403.99;6820.0
Kepler-45 b;0.505;2.455239;2011;0.96;0.03;333.0;3820.0
Kepler-453 (AB) b;0.03;240.503;2014;0.55;;;5527.0
Kepler-454 b;0.01905;10.57;2015;0.21;0.0954;232.41;5701.0
Kepler-46 b;6.0;33.60134;2012;0.808;0.1968;794.54;5309.0
Kepler-46 c;0.376;57.011;2012;;0.2799;794.54;5309.0
Kepler-462 b;0.16959;84.6866;2016;0.268;;598.0;7500.0
Kepler-462 c;0.01888;207.62;2020;0.357;;598.0;7500.0
Kepler-47 (AB) d;0.05984;187.35;2013;0.6281;0.6992;;5636.0
Kepler-48 e;2.067;982.0;2014;;;309.47;5194.0
Kepler-49 b;0.98;7.2037945;2012;0.243;;314.02;4252.0
Kepler-49 c;0.72;10.9129343;2012;0.227;;314.02;4252.0
Kepler-492 b;39.9;11.72012266;2016;0.856;0.0987;642.0;5527.0
Kepler-5 b;2.111;3.5484657;2009;1.426;0.0538;923.41;6297.0
Kepler-50 b;0.1;7.81254;2012;0.153;0.077;251.91;6225.0
Kepler-50 c;0.11;9.37647;2012;0.194;0.087;251.91;6225.0
Kepler-51 b;0.007;45.154;2012;0.633;0.2514;801.76;6018.0
Kepler-51 c;0.013;85.312;2012;0.803;0.384;801.76;6018.0
Kepler-51 d;0.024;130.194;2014;0.865;0.509;801.76;6018.0
Kepler-52 b;8.7;7.8773565;2012;0.187;;324.54;4263.0
Kepler-52 c;10.41;16.3850021;2012;0.164;;324.54;4263.0
Kepler-53 b;18.41;18.6489525;2012;0.258;;1420.1;5858.0
Kepler-53 c;15.74;38.5583038;2012;0.283;;1420.1;5858.0
Kepler-538 b;0.03335;81.73778;2016;0.198;0.4669;156.66;5547.0
Kepler-539 b;0.97;125.63243;2016;0.747;0.4988;310.01;5820.0
Kepler-539 c;2.4;1000.0;2016;;2.42;310.01;5820.0
Kepler-54 b;0.92;8.0109434;2012;0.187;;273.8;4252.0
Kepler-54 c;0.37;12.0717249;2012;0.11;;273.8;4252.0
Kepler-55 b;1.49;27.9481449;2012;0.217;;588.47;4503.0
Kepler-55 c;1.11;42.1516418;2012;0.197;;588.47;4503.0
Kepler-56 b;0.07;10.5016;2012;0.581;0.1028;936.96;4840.0
Kepler-56 c;0.57;21.40239;2012;0.874;0.1652;936.96;4840.0
Kepler-57 b;18.86;5.7293196;2012;0.195;;656.23;5145.0
Kepler-57 c;6.95;11.6092567;2012;0.138;;656.23;5145.0
Kepler-58 b;1.39;10.2184954;2012;0.248;;996.32;6099.0
Kepler-58 c;2.19;15.5741568;2012;0.255;;996.32;6099.0
Kepler-59 b;2.05;11.8681707;2012;0.098;0.112;1203.57;6074.0
Kepler-59 c;1.37;17.9801235;2012;0.177;0.148;1203.57;6074.0
Kepler-595 b;0.05475;25.3029092;2016;0.331;;639.0;5247.0
Kepler-595 c;0.01038;12.38602;2020;0.09;;639.0;5247.0
Kepler-6 b;0.668;3.2346996;2009;1.304;0.04852;597.14;5647.0
Kepler-60 b;0.01318;7.1334;2012;0.153;0.07497;1056.17;5905.0
Kepler-60 c;0.01211;8.9187;2012;0.17;0.08701;1056.17;5905.0
Kepler-60 d;0.01309;11.8981;2012;0.178;0.10548;1056.17;5905.0
Kepler-62 b;0.03;5.714932;2013;0.117;0.0553;368.0;4925.0
Kepler-62 c;0.013;12.4417;2013;0.048;0.0929;368.0;4925.0
Kepler-62 d;0.044;18.16406;2013;0.174;0.12;368.0;4925.0
Kepler-62 e;0.113;122.3874;2013;0.144;0.427;368.0;4925.0
Kepler-62 f;0.11;267.291;2013;0.126;0.718;368.0;4925.0
Kepler-63 b;0.378;9.4341505;2013;0.545;0.08;200.0;5576.0
Kepler-64 (AB) b;0.53;138.506;2013;0.553;0.634;;
Kepler-65 e;0.82;258.8;2019;;;306.39;6211.0
Kepler-66 b;0.047;17.815815;2013;0.25;0.1352;1107.0;5962.0
Kepler-67 b;0.047;15.7259;2013;0.262;0.1171;1107.0;5331.0
Kepler-7 b;0.441;4.8854892;2009;1.622;0.06067;947.46;5933.0
Kepler-74 b;0.63;7.340711;2013;0.96;0.0781;1218.33;6000.0
Kepler-75 b;10.1;8.8849116;2013;1.05;0.0818;855.5;5200.0
Kepler-76 b;2.01;1.5449298;2013;1.36;0.0274;842.87;6409.0
Kepler-77 b;0.43;3.57878087;2013;0.96;0.04501;570.0;5520.0
Kepler-78 b;0.00619;0.35500744;2013;0.1;0.01;124.82;5089.0
Kepler-79 b;0.0343;13.4845;2012;0.31;0.117;1051.43;6174.0
Kepler-79 c;0.019;27.4029;2012;0.332;0.187;1051.43;6174.0
Kepler-79 d;0.019;52.0902;2014;0.639;0.287;1051.43;6174.0
Kepler-79 e;0.013;81.0659;2014;0.311;0.386;1051.43;6174.0
Kepler-8 b;0.59;3.5224991;2010;1.416;0.0474;1052.9;6213.0
Kepler-80 b;0.0218;7.05246;2012;0.238;0.0648;357.0;4540.0
Kepler-80 c;0.02121;9.52355;2012;0.244;0.0792;357.0;4540.0
Kepler-80 d;0.02124;3.07222;2014;0.136;0.0372;357.0;4540.0
Kepler-80 e;0.01299;4.64489;2014;0.143;0.0491;357.0;4540.0
Kepler-82 b;0.03823;26.44;2012;0.363;0.1683;927.97;5428.0
Kepler-82 c;0.04373;51.54;2012;0.476;0.2626;927.97;5428.0
Kepler-82 f;0.06576;75.732;2019;;0.3395;927.97;5428.0
Kepler-86 b;0.34235;282.5254;2013;0.8466;0.824;;5629.0
Kepler-87 b;1.02;114.73635;2013;1.204;0.481;1277.88;5600.0
Kepler-87 c;0.02;191.2318;2013;0.548;0.676;1277.88;5600.0
Kepler-88 d;3.05;1403.0;2020;;2.464;339.0;5466.0
Kepler-89 b;0.033;3.743208;2013;0.153;0.05119;483.65;6182.0
Kepler-89 c;0.049;10.423648;2013;0.385;0.1013;483.65;6182.0
Kepler-89 d;0.334;22.342989;2013;1.005;0.1684;483.65;6182.0
Kepler-89 e;0.11;54.32031;2013;0.585;0.3046;483.65;6182.0
Kepler-9 b;0.13655;19.23891;2010;0.74;0.143;614.0;5774.0
Kepler-9 c;0.09408;38.9853;2010;0.721;0.227;614.0;5774.0
Kepler-9 d;0.016518264481;1.592851;2010;0.146;0.0273;614.0;5774.0
Kepler-91 b;0.81;6.24658;2013;1.367;0.0731;1344.56;4550.0
Kepler-93 b;0.0143;4.72674;2014;0.14;0.053;96.18;5669.0
Kepler-94 c;9.836;820.3;2014;;;192.97;4781.0
L 168-9 b;0.0145;1.4015;2020;0.124;0.02091;25.15;3800.0
L 98-59 b;0.0013;2.2531136;2018;0.0758;0.02191;10.623;3500.0
L 98-59 c;0.00698;3.6906777;2018;0.12356;0.0304;10.623;3500.0
L 98-59 d;0.0061;7.4507245;2018;0.1357;0.0486;10.623;3500.0
LHS 1140 b;0.02196;24.736;2017;0.15407;0.0936;12.47;3131.0
LHS 1140 c;0.00569;3.777931;2018;0.11437;0.02675;12.47;3131.0
LHS 1478 b;0.00733;1.9495378;2021;0.1106;0.01848;18.21;3381.0
LHS 1678 b;0.00019;0.8602322;2021;0.06209;0.01251;19.89;3490.0
LHS 1678 c;0.00123;3.694237;2021;0.08761;0.0331;19.89;3490.0
LHS 1815 b;0.0132;3.81433;2020;0.09707;0.0404;29.87;3643.0
LHS 2397a B;64.0;5194.0;2009;;3.09;14.3905;2580.0
LKCA 15 b;6.0;40000.0;2011;;15.7;145.0;
LP 714-47 b;0.0969;4.052037;2020;0.419;0.0417;52.7;3950.0
LTT 1445A b;0.00903;5.3587657;2019;0.11643;0.03813;6.9;3340.0
LTT 1445A c;0.00485;3.1239035;2020;0.10233;0.0396;6.9;3340.0
LTT 3780 b;0.00982;0.7683881;2020;0.11883;0.012;21.981;3360.0
LTT 3780 c;0.0267;12.252048;2020;0.205;0.077;21.981;3360.0
LTT 9779 b;0.09225;0.792052;2019;0.4211;0.01679;80.6;5445.0
Lupus-TR-3 b;0.81;3.91405;2007;0.89;0.0464;;5000.0
MASCARA-1 b;3.7;2.14878;2017;1.5;0.043;188.7;7554.0
MASCARA-2 b/KELT-20 b;3.518;3.4741085;2017;1.83;0.0542;;8981.0
MASCARA-3 b;5.18;5.5514926;2019;1.272;0.06971;96.79;6508.0
MOA-2009-BLG-266L b;0.0327;2780.0;2010;;3.2;3040.0;
MOA-2009-BLG-387L b;2.6;1970.0;2011;;1.8;5700.0;
NGTS-1 b;0.812;2.647298;2017;1.33;0.0326;224.0;3916.0
NGTS-10 b;2.162;0.7668944;;1.205;0.0143;;4400.0
NGTS-11 b;0.37;35.455285;2020;0.823;0.2;191.5;5050.0
NGTS-12 b;0.208;7.532806;2020;1.048;0.0757;452.0;5690.0
NGTS-13 b;4.84;4.119027;2021;1.142;0.0549;657.0;5918.0
NGTS-14A b;0.092;3.5357173;2021;0.44;0.0403;325.1;5187.0
NGTS-15 b;0.751;3.27623;2021;1.1;0.0441;791.0;5600.0
NGTS-16 b;0.667;4.84532;2021;1.3;0.0523;892.0;5550.0
NGTS-17 b;0.764;3.24253;2021;1.24;0.0391;1047.0;5650.0
NGTS-18 b;0.409;3.05125;2021;1.21;0.0448;1108.0;5610.0
NGTS-2 b;0.67;4.5111204;2018;1.536;0.0584;360.3;6478.0
NGTS-3A b;2.38;1.6753728;2018;1.48;0.023;1010.0;5570.0
