name;mass;orbital_period;discovered;radius;semi_major_axis;star_distance;star_teff
GJ 273 b;0.00922;18.64;2017;;0.091;3.8;3382.0
GJ 273 c;0.00374;4.72322;2017;;0.036;3.8;3382.0
GJ 273 d;0.03448;413.9;2019;;0.712;3.8;3382.0
GJ 273 e;0.0297;542.0;2019;;0.849;3.8;3382.0
GJ 3470 b;0.03958;3.336649;2012;0.37380742940036;0.03557;30.7;3652.0
GJ 3473 b;0.00585;1.1980035;2020;0.11277;0.01589;27.39;3347.0
GJ 357 b;0.006566;3.93086;2019;0.10411;0.033;9.444;3505.0
GJ 3634 b;0.026;2.64561;2011;;0.0287;19.8;
GJ 436 b;0.07;2.64394;2004;0.38;0.02887;10.2;3684.0
GJ 486 b;0.00887;1.467119;2021;0.11643;0.01734;8.0761;3340.0
GJ 676 A b;6.7;1052.1;2009;;1.812;16.45;
GJ 676 A c;6.8;7337.0;2012;;6.6;16.45;
GJ 758 b;37.9;109000.0;2009;;33.0;15.5;5425.0
GJ 876 b;2.3941;61.082;2000;;0.214;4.7;3350.0
GJ 876 c;0.7598;30.126;2000;;0.134;4.7;3350.0
GJ 876 d;0.021741;1.938;2005;;0.021;4.7;3350.0
GJ 876 e;0.04855;124.4;2010;;0.345;4.7;3350.0
GJ 9827 b;0.01532;1.2089765;2017;0.13641;0.01866;30.3;4255.0
GJ 9827 c;0.00604;3.648086;2017;0.107;0.03896;30.3;4255.0
GJ 9827 d;0.01076;6.20183;2017;0.17441;0.0555;30.3;4255.0
GPX-1 b;19.7;1.744579;2020;1.47;0.0338;;7000.0
HAT-P-1 b;0.525;4.46529976;2006;1.319;0.05561;139.0;5980.0
HAT-P-10 A b;0.46;3.722469;2008;1.045;0.0439;125.0;4980.0
HAT-P-11 b;0.0736;4.887802443;2009;0.389;0.053;37.89;4780.0
HAT-P-11 c;2.3;3397.0;2018;;4.13;37.89;4780.0
HAT-P-12 b;0.210489884529;3.2130598;2009;0.949;0.0384;142.5;4650.0
HAT-P-13 b;0.85;2.916243;2009;1.28;0.0426;214.0;5638.0
HAT-P-14 b;2.444;4.627686;2010;1.01;0.0606;205.0;6600.0
HAT-P-15 b;1.946;10.863502;2010;1.072;0.0964;190.0;5568.0
